Country,Location,MHA_Code,Rank,Rent_With_Dependents,Rent_Without_Dependents,Utility,MIHA,Exchange_Rate,Effective_Date
Algeria,ALGERIA,999,O1,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E9,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E8,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E7,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E6,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E5,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E4,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E3,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E2,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
Algeria,ALGERIA,999,E1,40000.0,36000.0,0.0,0.0,0.007304,01 JANUARY 2023
American Samoa,AMERICAN SAMOA,1,O6,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O5,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,W5,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O4,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,W3,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,W4,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O3E,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O3,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,W2,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O2E,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O1E,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O2,1667.0,1500.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,W1,1667.0,1500.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,O1,1667.0,1500.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E9,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E8,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E7,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E6,1867.0,1680.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E5,1667.0,1500.3,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E4,1450.0,1305.0,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E3,1450.0,1305.0,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E2,1450.0,1305.0,665.0,434.0,1.0,01 SEPTEMBER 2025
American Samoa,AMERICAN SAMOA,1,E1,1450.0,1305.0,665.0,434.0,1.0,01 SEPTEMBER 2025
Angola,ANGOLA,999,O6,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O5,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,W5,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O4,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,W3,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,W4,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O3E,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O3,1433.0,1289.7,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,W2,1433.0,1289.7,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O2E,1433.0,1289.7,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O1E,1433.0,1289.7,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O2,1206.0,1085.4,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,W1,1206.0,1085.4,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,O1,1206.0,1085.4,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E9,1550.0,1395.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E8,1433.0,1289.7,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E7,1433.0,1289.7,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E6,1433.0,1289.7,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E5,1206.0,1085.4,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E4,1080.0,972.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E3,1080.0,972.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E2,1080.0,972.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Angola,ANGOLA,999,E1,1080.0,972.0,445.0,514.0,0.001082,16 SEPTEMBER 2024
Antigua and Barbuda,ANTIGUA AND BARBUDA,1,O6,7532.0,6778.8,753.0,200.0,0.371747,16 NOVEMBER 2025
Antigua and Barbuda,ANTIGUA AND BARBUDA,1,O5,7532.0,6778.8,753.0,200.0,0.371747,16 NOVEMBER 2025
Antigua and Barbuda,ANTIGUA AND BARBUDA,1,W5,7532.0,6778.8,753.0,200.0,0.371747,16 NOVEMBER 2025
Antigua and Barbuda,ANTIGUA AND BARBUDA,1,O4,7532.0,6778.8,753.0,200.0,0.371747,16 NOVEMBER 2025
Antigua and Barbuda,ANTIGUA AND BARBUDA,1,W3,7532.0,6778.8,753.0,200.0,0.371747,16 NOVEMBER 2025
Antigua and Barbuda,ANTIGUA AND BARBUDA,1,W4,7532.0,6778.8,753.0,200.0,0.371747,16 NOVEMBER 2025
Antigua and Barbuda,ANTIGUA AND BARBUDA,1,O3E,7532.0,6778.8,753.0,200.0,0.371747,16 NOVEMBER 2025
